algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
4737474,1502433,1902516,755593,1000000000,100000000,33219281,10000000
1243504,2200996,1714760,735426,3375000000,225000000,58603359,15000000
2280819,557625,3225457,294258,8000000000,400000000,86438562,20000000
4783953,764495,5289068,107610,15625000000,625000000,116096405,25000000
6400234,1057821,3415743,112181,27000000000,900000000,147206718,30000000
9798829,1183512,989094,119707,42875000000,1225000000,179524906,35000000
13193972,1520001,1131376,140446,64000000000,1600000000,212877124,40000000
17724566,1866882,1329911,130787,91125000000,2025000000,247133390,45000000
23860901,1790381,1529974,139975,125000000000,2500000000,282192810,50000000
32101567,1670466,1692454,203501,166375000000,3025000000,317974785,55000000
43040021,1858852,1842096,254178,216000000000,3600000000,354413436,60000000
55203506,2182648,1955783,264705,274625000000,4225000000,391453908,65000000
70874536,2564646,2182137,296348,343000000000,4900000000,429049812,70000000
82230065,2889258,3485940,310881,421875000000,5625000000,467161402,75000000
99727847,3239432,2430192,311704,512000000000,6400000000,505754248,80000000
119063591,3826758,2807841,325085,614125000000,7225000000,544798230,85000000
152159328,4060405,5132679,339306,729000000000,8100000000,584266779,90000000
168113638,6586853,4019384,367344,857375000000,9025000000,624136283,95000000
204329205,6696078,3014723,382542,1000000000000,10000000000,664385619,100000000
